estu_consecutivo.1;estu_exterior;periodo;estu_tieneetnia;estu_tomo_cursopreparacion;estu_cursodocentesies;estu_cursoiesapoyoexterno;estu_cursoiesexterna;estu_simulacrotipoicfes;estu_actividadrefuerzoareas;estu_actividadrefuerzogeneric;fami_trabajolaborpadre;fami_trabajolabormadre;fami_numlibros;estu_inst_cod_departamento;estu_tipodocumento.1;estu_nacionalidad.1;estu_genero.1;estu_fechanacimiento.1;periodo.1;estu_estudiante.1;estu_pais_reside.1;estu_depto_reside.1;estu_cod_reside_depto.1;estu_mcpio_reside.1;estu_cod_reside_mcpio.1;estu_areareside;estu_valorpensioncolegio;fami_educacionpadre.1;fami_educacionmadre.1;fami_ocupacionpadre.1;fami_ocupacionmadre.1;fami_estratovivienda.1;fami_nivelsisben;fami_pisoshogar;fami_tieneinternet.1;fami_tienecomputador.1;fami_tienemicroondas;fami_tienehorno;fami_tieneautomovil.1;fami_tienedvd;fami_tiene_nevera.1;fami_tiene_celular.1;fami_telefono.1;fami_ingresofmiliarmensual;estu_trabajaactualmente;estu_antecedentes;estu_expectativas;cole_codigo_icfes;cole_cod_dane_establecimiento;cole_nombre_establecimiento;cole_genero;cole_naturaleza;cole_calendario;cole_bilingue;cole_caracter;cole_cod_dane_sede;cole_nombre_sede;cole_sede_principal;cole_area_ubicacion;cole_jornada;cole_cod_mcpio_ubicacion;cole_mcpio_ubicacion;cole_cod_depto_ubicacion;cole_depto_ubicacion;punt_lenguaje;punt_matematicas;punt_biologia;punt_quimica;punt_fisica;punt_ciencias_sociales;punt_filosofia;punt_ingles;desemp_ingles;profundiza;puntaje_prof;desemp_prof;exito
SB11201220300963;NO;20163;No;;;;;;;;;;26 A 100 LIBROS;11;TI;COLOMBIA;F;15/6/1995;20122;ESTUDIANTE;COLOMBIA;BOGOTA;11;BOGOTÁ D.C.;11001;Cabecera Municipal;No paga Pensión;Técnica o tecnológica incompleta;Educación profesional completa;Empleado obrero u operario;Empleado de nivel directivo;Estrato 4;No está clasificada por el SISBEN;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;No;Si;Si;Si;Si;Si;Entre 3 y menos de 5 SMLV;No;No;;21584;3.11001E+11;FUND COL MAYOR DE SAN BARTOLOME;MIXTO;NO OFICIAL;A;N;ACADÉMICO;3.11001E+11;FUND COL MAYOR DE SAN BARTOLOME;S;URBANO;COMPLETA;11001;BOGOTÁ D.C.;11;BOGOTA;67;67;58;58;52;46;58;72;B1;PUNT_INTERDISC_VIOLENCIAYSOC;48;;1
SB11201220555598;NO;20183;No;;;;;;;;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;26 A 100 LIBROS;11;TI;COLOMBIA;F;4/4/1996;20122;ESTUDIANTE;COLOMBIA;CUNDINAMARCA;25;FUNZA;25286;Area Rural;No paga Pensión;Primaria completa;Primaria completa;Profesional independiente;Hogar;Estrato 2;Nivel 1;Madera pulida, baldosa, tableta, mármol, alfombra;No;No;No;No;No;No;Si;Si;Si;Entre 1 y menos de 2 SMLV;No;Si;;86819;1.25286E+11;I.E.D. MIGUEL ANTONIO CARO;MIXTO;OFICIAL;A;N;ACADÉMICO;1.25286E+11;I.E.D. MIGUEL ANTONIO CARO - SEDE PRINCIPAL;S;URBANO;MAÑANA;25286;FUNZA;25;CUNDINAMARCA;50;46;43;48;48;46;43;42;A-;PUNT_INTERDISC_MEDIOAMBIENTE;52;;0
SB11201320065128;NO;20173;No;;;;;;;;;;MÁS DE 100 LIBROS;13;TI;COLOMBIA;F;11/2/1997;20132;ESTUDIANTE;COLOMBIA;BOLIVAR;13;CARTAGENA DE INDIAS;13001;Cabecera Municipal;Entre 120.000 y menos de 150.000;Educación profesional completa;Secundaria (Bachillerato) completa;Empleado de nivel técnico o profesional;Hogar;Estrato 2;No está clasificada por el SISBEN;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;No;Si;No;Si;Si;Si;No;Entre 5 y menos de 7 SMLV;No;No;No;110262;3.13001E+11;CORPORACION EDUCATIVA LA CONCEPCION (COL);MIXTO;NO OFICIAL;A;N;ACADÉMICO;3.13001E+11;CORPORACION EDUCATIVA LA CONCEPCION (COL);S;URBANO;COMPLETA;13001;CARTAGENA DE INDIAS;13;BOLIVAR;58;60;51;56;62;64;75;59;A2;PUNT_PROFUNDIZA_LENGUAJE;7;III;1
SB11201220375621;NO;20183;No;;;;;;;;Trabaja por cuenta propia (por ejemplo plomero, electricista);Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;0 A 10 LIBROS;13;TI;COLOMBIA;M;11/5/1996;20122;ESTUDIANTE;COLOMBIA;BOLIVAR;13;CARTAGENA DE INDIAS;13001;Cabecera Municipal;No paga Pensión;Educación profesional completa;No sabe;Empleado de nivel técnico o profesional;Hogar;Estrato 1;Nivel 1;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;No;Si;Si;Si;Si;Entre 1 y menos de 2 SMLV;No;No;;51524;3.13001E+11;ESCUELAS PROFESIONALES SALESIANAS;MASCULINO;OFICIAL;A;N;TÉCNICO;3.13001E+11;PROVINCIA SALESIANA MEDELLIN;S;URBANO;COMPLETA;13001;CARTAGENA DE INDIAS;13;BOLIVAR;46;30;37;42;50;36;25;27;A-;PUNT_PROFUNDIZA_BIOLOGIA;5;GB;0
SB11201320231111;NO;20183;No;;;;;;;;Pensionado;Trabaja por cuenta propia (por ejemplo plomero, electricista);26 A 100 LIBROS;68;TI;COLOMBIA;F;29/1/1997;20132;ESTUDIANTE;COLOMBIA;SANTANDER;68;BUCARAMANGA;68001;Cabecera Municipal;250.000 o más;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Empleado de nivel técnico o profesional;Profesional Independiente;Estrato 2;No está clasificada por el SISBEN;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Entre 1 y menos de 2 SMLV;No;No;No;14118;3.68001E+11;COL DEL SAGRADO CORAZON DE JESUS;FEMENINO;NO OFICIAL;A;N;ACADÉMICO;3.68001E+11;COL DEL SAGRADO CORAZON DE JESUS;S;URBANO;COMPLETA;68001;BUCARAMANGA;68;SANTANDER;60;57;59;56;56;53;56;56;A2;PUNT_PROFUNDIZA_LENGUAJE;6;II;0
SB11201320288277;;20152;;No;No tomó Curso;No tomó Curso;No tomó curso;No;No;No;;;;11;TI;COLOMBIA;M;22/1/1996;20132;ESTUDIANTE;COLOMBIA;ANTIOQUIA;5;MEDELLÍN;5001;Cabecera Municipal;No paga Pensión;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Otra actividad u ocupación;Hogar;Estrato 3;Nivel 3;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;No;Si;No;Si;Si;Si;Si;Entre 2 y menos de 3 SMLV;No;No;No;113456;1.05001E+11;INST EDUC CASD;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1.05001E+11;INST EDUC CASD JOSE MARIA ESPINOSA PRIETO;S;URBANO;MAÑANA;5001;MEDELLÍN;5;ANTIOQUIA;52;46;59;48;47;44;43;48;A1;PUNT_INTERDISC_VIOLENCIAYSOC;48;;1
SB11201220476363;NO;20183;No;;Menos de 20 horas;Menos de 20 horas;Menos de 20 horas;Si;Si;Si;Pensionado;Es operario de máquinas o conduce vehículos (taxita, chofer);11 A 25 LIBROS;11;TI;COLOMBIA;F;11/8/1995;20122;ESTUDIANTE;COLOMBIA;CUNDINAMARCA;25;MADRID;25430;Cabecera Municipal;No paga Pensión;Primaria completa;Primaria completa;Empleado obrero u operario;Empleado obrero u operario;Estrato 3;Nivel 2;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;No;Si;No;Si;Si;Si;No;Entre 3 y menos de 5 SMLV;No;Si;;104091;3.2543E+11;COLEGIO AGRICOLA SAN PEDRO;MIXTO;NO OFICIAL;A;N;ACADÉMICO;3.2543E+11;COLEGIO  SAN PEDRO;S;URBANO;COMPLETA;25430;MADRID;25;CUNDINAMARCA;55;64;56;55;42;54;64;50;A1;PUNT_INTERDISC_MEDIOAMBIENTE;55;;1
SB11201320283919;NO;20173;No;;;;;;;;;;26 A 100 LIBROS;11;TI;COLOMBIA;F;4/9/1996;20132;ESTUDIANTE;COLOMBIA;NARIÑO;52;SAMANIEGO;52678;Cabecera Municipal;No paga Pensión;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Trabajador por cuenta propia;Hogar;Estrato 1;Nivel 1;Madera pulida, baldosa, tableta, mármol, alfombra;No;No;No;No;No;No;Si;Si;No;Menos de 1 SMLV;No;No;No;11817;1.52678E+11;INSTITUCION EDUCATIVA SIMON BOLIVAR;MIXTO;OFICIAL;A;N;ACADÉMICO;1.52678E+11;INSTITUCION EDUCATIVA NACIONAL SIMON BOLIVAR;S;URBANO;MAÑANA;52678;SAMANIEGO;52;NARIÑO;46;46;53;54;59;50;37;45;A1;PUNT_INTERDISC_MEDIOAMBIENTE;54;;0
SB11201320083905;NO;20183;No;;;;;;;;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja por cuenta propia (por ejemplo plomero, electricista);MÁS DE 100 LIBROS;11;TI;COLOMBIA;F;17/2/1997;20132;ESTUDIANTE;COLOMBIA;BOGOTA;11;BOGOTÁ D.C.;11001;Cabecera Municipal;No paga Pensión;Educación profesional completa;Educación profesional completa;Empleado de nivel técnico o profesional;Trabajador por cuenta propia;Estrato 2;No está clasificada por el SISBEN;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Entre 5 y menos de 7 SMLV;Si, menos de 20 horas a la semana;No;No;56234;3.11769E+11;GIMN NUEVO SUBA                                                                                     ;MIXTO;NO OFICIAL;A;N;ACADÉMICO;3.11769E+11;GIMN NUEVO SUBA;S;URBANO;COMPLETA;11001;BOGOTÁ, D.C.;11;BOGOTA;52;46;55;57;56;57;54;54;A2;PUNT_INTERDISC_VIOLENCIAYSOC;48;;1
SB11201320407673;NO;20183;No;;Menos de 20 horas;Menos de 20 horas;Menos de 20 horas;No;Si;No;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;26 A 100 LIBROS;8;TI;COLOMBIA;M;18/02/0033;20132;ESTUDIANTE;COLOMBIA;LA GUAJIRA;44;SAN JUAN DEL CESAR;44650;Cabecera Municipal;No paga Pensión;Educación profesional completa;Secundaria (Bachillerato) completa;Empleado de nivel técnico o profesional;Hogar;Estrato 3;Nivel 2;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Entre 3 y menos de 5 SMLV;No;No;No;10314;1.4465E+11;INSTITUCION NORMAL SUPERIOR;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1.4465E+11;INSTITUCION EDUCATIVA LA NORMAL SUPERIOR;S;URBANO;MAÑANA;44650;SAN JUAN DEL CESAR;44;LA GUAJIRA;45;41;41;34;40;49;40;43;A-;PUNT_PROFUNDIZA_MATEMATICA;4;GB;0
SB11201220340808;;20152;;No;No tomó Curso;No tomó Curso;No tomó curso;No;No;No;;;;25;TI;COLOMBIA;M;15/11/1994;20122;ESTUDIANTE;COLOMBIA;BOGOTA;11;BOGOTÁ D.C.;11001;Cabecera Municipal;Menos de 87.000;Primaria completa;Secundaria (Bachillerato) completa;Trabajador por cuenta propia;Hogar;Estrato 2;Nivel 2;Madera burda, tabla, tablón;Si;Si;Si;Si;Si;Si;Si;Si;Si;Entre 2 y menos de 3 SMLV;No;No;;21121;3.11001E+11;COL ELISA BORRERO DE PASTRANA;MIXTO;NO OFICIAL;A;N;TÉCNICO/ACADÉMICO;3.11001E+11;COL ELISA BORRERO DE PASTRANA;S;URBANO;MAÑANA;11001;BOGOTÁ D.C.;11;BOGOTA;53;62;57;46;67;55;51;57;A2;PUNT_PROFUNDIZA_MATEMATICA;5;I;1
SB11201220402733;NO;20173;No;;;;;;;;;;11 A 25 LIBROS;15;TI;COLOMBIA;M;30/11/1994;20122;ESTUDIANTE;COLOMBIA;BOYACA;15;MONIQUIRÁ;15469;Cabecera Municipal;No paga Pensión;Primaria completa;Secundaria (Bachillerato) incompleta;Otra actividad u ocupación;Hogar;Estrato 3;Nivel 1;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;No;Si;No;Si;Si;Si;No;Entre 2 y menos de 3 SMLV;No;No;;28035;1.15469E+11;I.E. ANTONIO NARIÑO;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1.15469E+11;I.E. ANTONIO NARIÑO - SEDE PRINCIPAL;S;URBANO;COMPLETA;15469;MONIQUIRÁ;15;BOYACA;47;65;46;50;38;42;19;48;A1;PUNT_PROFUNDIZA_MATEMATICA;6;II;0
SB11201220154328;;20152;;No;No tomó Curso;No tomó Curso;No tomó curso;No;No;No;;;;5;TI;COLOMBIA;F;28/8/1994;20122;ESTUDIANTE;COLOMBIA;ANTIOQUIA;5;COCORNÁ;5197;Area Rural;No paga Pensión;Primaria incompleta;Primaria completa;Trabajador por cuenta propia;Hogar;Estrato 1;Nivel 1;Cemento, gravilla, ladrillo;No;No;No;No;No;No;No;Si;No;Menos de 1 SMLV;No;No;;1644;1.05197E+11;I. E. COCORNA;MIXTO;OFICIAL;A;N;ACADÉMICO;1.05197E+11;LICEO COCORNA;S;URBANO;COMPLETA;5197;COCORNÁ;5;ANTIOQUIA;46;49;33;47;44;46;42;43;A1;PUNT_PROFUNDIZA_MATEMATICA;5;I;0
SB11201220082813;NO;20183;No;;Entre 20 y 30 horas;Entre 20 y 30 horas;Entre 20 y 30 horas;Si;Si;Si;Trabaja en el hogar, no trabaja o estudia;Trabaja en el hogar, no trabaja o estudia;26 A 100 LIBROS;47;TI;COLOMBIA;M;5/8/1996;20122;ESTUDIANTE;COLOMBIA;MAGDALENA;47;SANTA MARTA;47001;Cabecera Municipal;Entre 150.000 y menos de 250.000;Educación profesional completa;Postgrado;Otra actividad u ocupación;Empleado de nivel técnico o profesional;Estrato 3;No está clasificada por el SISBEN;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Entre 3 y menos de 5 SMLV;No;No;;10587;3.47001E+11;COLEGIO DIOCESANO  SAN JOSE;MASCULINO;NO OFICIAL;A;N;ACADÉMICO;3.47001E+11;COLEGIO DIOCESANO  SAN JOSE;S;URBANO;COMPLETA;47001;SANTA MARTA;47;MAGDALENA;42;38;57;49;37;38;49;43;A1;PUNT_INTERDISC_MEDIOAMBIENTE;52;;0
SB11201220310592;;20152;;No;No tomó Curso;No tomó Curso;No tomó curso;No;No;No;;;;11;TI;COLOMBIA;M;19/1/1996;20122;ESTUDIANTE;COLOMBIA;BOGOTA;11;BOGOTÁ D.C.;11001;Cabecera Municipal;No paga Pensión;Primaria incompleta;Primaria incompleta;Hogar;Empleado obrero u operario;Estrato 2;Nivel 2;Cemento, gravilla, ladrillo;Si;Si;Si;No;No;Si;Si;Si;Si;Entre 1 y menos de 2 SMLV;No;No;;129130;1.11001E+11;COLEGIO ALTAMIRA SURORIENTAL (IED);MIXTO;OFICIAL;A;N;ACADÉMICO;1.11001E+11;CENT EDUC DIST ALTAMIRA SUR ORIENTAL;S;URBANO;MAÑANA;11001;BOGOTÁ D.C.;11;BOGOTA;48;61;52;58;52;40;58;45;A1;PUNT_PROFUNDIZA_BIOLOGIA;5;I;1
SB11201320436001;NO;20183;No;;;;;;;;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;0 A 10 LIBROS;15;TI;COLOMBIA;F;3/11/1996;20132;ESTUDIANTE;COLOMBIA;BOYACA;15;PAUNA;15531;Cabecera Municipal;No paga Pensión;Primaria incompleta;Primaria incompleta;Trabajador por cuenta propia;Empleado de nivel auxiliar o administrativo;Estrato 2;Nivel 1;Cemento, gravilla, ladrillo;Si;Si;No;No;No;No;Si;Si;No;Entre 1 y menos de 2 SMLV;No;No;No;5389;1.15531E+11;I.E.T NACIONALIZADO DE PAUNA;MIXTO;OFICIAL;A;N;TÉCNICO;1.15531E+11;I.E.T NACIONALIZADO DE PAUNA - SEDE PRINCIPAL;S;URBANO;COMPLETA;15531;PAUNA;15;BOYACA;58;50;48;59;62;49;51;58;A2;PUNT_INTERDISC_MEDIOAMBIENTE;51;;0
SB11201210035437;NO;20173;No;;Entre 20 y 30 horas;Menos de 20 horas;Menos de 20 horas;Si;No;Si;;;MÁS DE 100 LIBROS;76;TI;COLOMBIA;M;8/8/1995;20121;ESTUDIANTE;COLOMBIA;VALLE;76;CALI;76001;Cabecera Municipal;250.000 o más;Educación profesional incompleta;Postgrado;Empresario;Empresario;Estrato 5;No está clasificada por el SISBEN;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;No;;Si;Si;Si;Si;Si;Entre 7 y menos de 10 SMLV;No;No;;17061;3.76001E+11;COLEGIO LACORDAIRE;MASCULINO;NO OFICIAL;B;N;ACADÉMICO;3.76001E+11;COLEGIO LACORDAIRE;S;URBANO;COMPLETA;76001;CALI;76;VALLE;66;75;51;68;75;53;61;70;B1;PUNT_PROFUNDIZA_MATEMATICA;6;I;1
SB11201320417554;NO;20183;No;;;;;;;;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);MÁS DE 100 LIBROS;11;TI;COLOMBIA;M;24/12/1996;20132;ESTUDIANTE;COLOMBIA;BOGOTA;11;BOGOTÁ D.C.;11001;Cabecera Municipal;Entre 150.000 y menos de 250.000;Educación profesional completa;Educación profesional completa;Empleado de nivel técnico o profesional;Empleado de nivel técnico o profesional;Estrato 3;No está clasificada por el SISBEN;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;No;No;No;No;Si;Si;Si;Entre 2 y menos de 3 SMLV;No;No;No;143917;3.11001E+11;COL SANTO TORIBIO DE MONGROVEJO;MIXTO;NO OFICIAL;A;;ACADÉMICO;3.11001E+11;COL SANTO TORIBIO DE MONGROVEJO;S;URBANO;COMPLETA;11001;BOGOTÁ, D.C.;11;BOGOTA;54;52;60;51;44;49;42;54;A2;PUNT_INTERDISC_MEDIOAMBIENTE;55;;1
SB11201320467128;NO;20183;No;;;;;;;;Pensionado;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);0 A 10 LIBROS;8;TI;COLOMBIA;F;24/12/1996;20132;ESTUDIANTE;COLOMBIA;ATLANTICO;8;BARRANQUILLA;8001;Cabecera Municipal;250.000 o más;Educación profesional completa;Educación profesional completa;Pensionado;Empleado de nivel auxiliar o administrativo;Estrato 4;No está clasificada por el SISBEN;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Entre 2 y menos de 3 SMLV;No;No;No;3038;3.08001E+11;COLEGIO MILITAR ACOLSURE;MIXTO;NO OFICIAL;A;N;TÉCNICO/ACADÉMICO;3.08001E+11;COL MILITAR ACOLSURE;S;URBANO;COMPLETA;8001;BARRANQUILLA;8;ATLANTICO;62;50;39;54;59;44;50;83;B+;PUNT_PROFUNDIZA_MATEMATICA;4;GB;0
SB11201220327849;NO;20173;No;;;;;;;;;;11 A 25 LIBROS;25;TI;COLOMBIA;M;20/9/1994;20122;ESTUDIANTE;COLOMBIA;BOGOTA;11;BOGOTÁ D.C.;11001;Cabecera Municipal;250.000 o más;Técnica o tecnológica incompleta;Técnica o tecnológica completa;Empleado de nivel técnico o profesional;Empleado de nivel directivo;Estrato 3;No está clasificada por el SISBEN;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;;No;Si;;19901;3.11001E+11;COL CALASANZ                                                                                        ;MIXTO;NO OFICIAL;A;N;ACADÉMICO;3.11001E+11;COL CALASANZ;S;URBANO;COMPLETA;11001;BOGOTÁ D.C.;11;BOGOTA;57;52;54;47;55;54;47;61;A2;PUNT_INTERDISC_VIOLENCIAYSOC;55;;1
SB11201220171830;NO;20173;No;;;;;;;;;;11 A 25 LIBROS;52;TI;COLOMBIA;F;11/6/1995;20122;ESTUDIANTE;COLOMBIA;NARIÑO;52;EL TABLÓN DE GÓMEZ;52258;Area Rural;No paga Pensión;Primaria incompleta;Primaria completa;Trabajador por cuenta propia;Trabajador por cuenta propia;Estrato 1;Nivel 1;Cemento, gravilla, ladrillo;No;No;No;No;No;No;No;Si;No;Menos de 1 SMLV;No;No;;43513;2.52258E+11;INSTITUCION  EDUCATIVA  LAS MESAS  INSEM;MIXTO;OFICIAL;A;N;ACADÉMICO;2.52258E+11;INST EDUC LAS MESAS;S;RURAL;MAÑANA;52258;EL TABLÓN DE GÓMEZ;52;NARIÑO;48;61;50;57;52;60;42;50;A1;PUNT_INTERDISC_MEDIOAMBIENTE;54;;0
SB11201310008441;NO;20163;No;;;;;;;;;;11 A 25 LIBROS;11;CC;COLOMBIA;F;11/8/1996;20131;ESTUDIANTE;COLOMBIA;VALLE;76;JAMUNDÍ;76364;Cabecera Municipal;Entre 150.000 y menos de 250.000;Técnica o tecnológica completa;Técnica o tecnológica completa;Empleado de nivel técnico o profesional;Empresario;Estrato 4;No está clasificada por el SISBEN;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;No;Si;Si;Si;Si;Si;Si;Entre 3 y menos de 5 SMLV;No;No;No;28985;4.76001E+11;COL CIUDADELA EDUC LA PRESENTACIÓN;FEMENINO;NO OFICIAL;B;N;TÉCNICO;4.76001E+11;COL CIUDADELA EDUC LA PRESENTACIÓN;S;RURAL;COMPLETA;76001;CALI;76;VALLE;52;57;47;43;55;55;50;89;B+;PUNT_INTERDISC_VIOLENCIAYSOC;51;;1
SB11201220450991;NO;20173;No;;;;;;;;;;26 A 100 LIBROS;23;TI;COLOMBIA;M;2/12/1996;20122;ESTUDIANTE;COLOMBIA;CORDOBA;23;CERETÉ;23162;Cabecera Municipal;No paga Pensión;Primaria incompleta;Primaria incompleta;Trabajador por cuenta propia;Trabajador por cuenta propia;Estrato 1;Nivel 1;Cemento, gravilla, ladrillo;No;No;Si;No;No;No;Si;Si;No;Entre 1 y menos de 2 SMLV;Si, menos de 20 horas a la semana;No;;76927;1.23162E+11;IE 24 DE MAYO;MIXTO;OFICIAL;A;N;ACADÉMICO;1.23162E+11;IE 24 DE MAYO;S;URBANO;TARDE;23162;CERETÉ;23;CORDOBA;47;84;66;61;60;65;49;47;A1;PUNT_INTERDISC_MEDIOAMBIENTE;53;;0
SB11201320536414;;20152;;No;No tomó Curso;No tomó Curso;No tomó curso;No;No;No;;;;11;CC;COLOMBIA;F;10/6/1994;20132;ESTUDIANTE;COLOMBIA;BOLIVAR;13;CARTAGENA DE INDIAS;13001;;Menos de 87.000;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Empleado obrero u operario;Hogar;Estrato 2;Nivel 2;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;No;Si;Si;Si;Si;Entre 1 y menos de 2 SMLV;No;No;No;171801;3.13001E+11;INST. CARTAGENA. DEL MAR;MIXTO;NO OFICIAL;A;N;ACADÉMICO;3.13001E+11;INST. CARTAGENA. DEL MAR;S;URBANO;TARDE;13001;CARTAGENA DE INDIAS;13;BOLIVAR;38;44;34;34;37;29;0;43;A-;PUNT_PROFUNDIZA_MATEMATICA;5;I;0
SB11201220324617;NO;20183;No;;;;;;;;Es agricultor, pesquero o jornalero;No aplica;11 A 25 LIBROS;11;TI;COLOMBIA;F;26/9/1995;20122;ESTUDIANTE;COLOMBIA;BOGOTA;11;BOGOTÁ D.C.;11001;Cabecera Municipal;No paga Pensión;Secundaria (Bachillerato) incompleta;Postgrado;Trabajador por cuenta propia;Empleado obrero u operario;Estrato 3;No está clasificada por el SISBEN;Madera pulida, baldosa, tableta, mármol, alfombra;No;No;No;No;No;No;Si;Si;Si;Entre 2 y menos de 3 SMLV;No;No;;20859;1.11001E+11;COLEGIO LA MERCED (IED);FEMENINO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1.11001E+11;COL DIST LA MERCED;S;URBANO;MAÑANA;11001;BOGOTÁ D.C.;11;BOGOTA;53;64;41;41;55;50;47;51;A1;PUNT_INTERDISC_VIOLENCIAYSOC;34;;1
SB11201220582685;NO;20163;Si;;Más de 30 horas;Más de 30 horas;Más de 30 horas;Si;Si;Si;;;26 A 100 LIBROS;52;TI;COLOMBIA;F;30/6/1995;20122;ESTUDIANTE;COLOMBIA;PUTUMAYO;86;SIBUNDOY;86749;Cabecera Municipal;No paga Pensión;;Primaria incompleta;;;Estrato 2;Nivel 2;Madera pulida, baldosa, tableta, mármol, alfombra;Si;;No;No;No;Si;Si;Si;Si;Entre 2 y menos de 3 SMLV;No;No;;;3.86749E+11;IE NORMAL SUPERIOR DEL PUTUMAYO;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;3.86749E+11;ESC NORMAL SUPERIOR DEL PUTUMAYO;S;URBANO;MAÑANA;86749;SIBUNDOY;86;PUTUMAYO;45;45;31;41;40;35;34;29;A-;PUNT_PROFUNDIZA_LENGUAJE;5;I;0
SB11201320185153;;20152;;No;No tomó Curso;No tomó Curso;No tomó curso;No;No;No;;;;11;TI;COLOMBIA;F;4/10/1996;20132;ESTUDIANTE;COLOMBIA;META;50;VILLAVICENCIO;50001;Cabecera Municipal;No paga Pensión;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Otra actividad u ocupación;Hogar;Estrato 2;Nivel 2;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;No;Si;No;Si;Si;Si;No;Entre 1 y menos de 2 SMLV;No;No;No;77354;1.50001E+11;COLEGIO JUAN B. CABALLERO MEDINA;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1.50001E+11;COL. JUAN B. CABALLERO MEDINA;S;URBANO;MAÑANA;50001;VILLAVICENCIO;50;META;52;41;44;55;38;48;42;42;A-;PUNT_INTERDISC_MEDIOAMBIENTE;52;;1
SB11201220143108;NO;20173;No;;;;;;;;;;26 A 100 LIBROS;5;CC;COLOMBIA;F;1/12/1991;20122;ESTUDIANTE;COLOMBIA;ANTIOQUIA;5;BELLO;5088;Cabecera Municipal;Menos de 87.000;Primaria completa;Primaria completa;Trabajador por cuenta propia;Hogar;Estrato 2;Nivel 1;Cemento, gravilla, ladrillo;No;Si;Si;No;Si;No;No;Si;Si;Entre 1 y menos de 2 SMLV;No;No;;112284;3.05001E+11;UNION PROFESIONAL PARA LA EDUCACION Y EL TRABAJO UPET;MIXTO;NO OFICIAL;OTRO;N;ACADÉMICO;3.05001E+11;UNION PROFESIONAL PARA LA EDUCACION Y EL TRABAJO UPET;S;URBANO;NOCHE;5001;MEDELLÍN;5;ANTIOQUIA;37;20;27;44;43;47;15;33;A-;PUNT_INTERDISC_VIOLENCIAYSOC;24;;0
